Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion este ano,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,24 - 26,GBA,1 - 2,Menos de un ano,DBA,Part-Time,1465,97,Bruto,10,,,,,MSSQL,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;Ninguna de las anteriores
Hombre,18 - 20,Provincia de Buenos Aires,1 - 2,1 - 2,Developer,Full-Time,1600,106,Neto,50,,CSS;HTML;Javascript;jQuery;NodeJS,,,,No,0,Porcentaje de mi sueldo,4,3,No,No recibo bono,No,0,Si,Salario,Clases de idiomas;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,1600,106,Bruto,1000,,,,,,No,0,Bruto,3,2,No,No recibo bono,No,0,Si,Mayor comodidad,"Cuota para universidad;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Guarderia;Horarios flexibles"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,Menos de un ano,Developer,Full-Time,1900,125,Neto,10,,CSS;Java;Javascript,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,Dos,0,Si,Salario,Aumento por inflacion;Horarios flexibles
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,2000,132,Neto,1000,,,,,,No,0,Porcentaje de mi sueldo,5,5,Menos de un sueldo,Performance de la compania,Dos,0,No,No cambie de empresa,"Descuentos en gimnasios;Snacks, golosinas, bebidas, etc"
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Mailing,Freelance,2000,132,Neto,10,,,,,,,,,3,2,No,No recibo bono,Uno,20,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,8 - 10,4 - 5,Networking,Full-Time,2000,132,Neto,1001,,,,,,"Si, pasiva",2000,Porcentaje de mi sueldo,3,3,No,No recibo bono,Uno,12,No,No cambie de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Descuentos en gimnasios;Guarderia;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,pasantia,Part-Time,2242,148,Neto,100,,,,,,,,,3,2,No,No recibo bono,Uno,15,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,5 - 7,2 - 3,QA / Tester,Full-Time,2300,152,Neto,1000,,,Funcional,Selenium,,,,,3,3,Un sueldo,Performance individual,Uno,20,Si,Mejores beneficios,"Bonos por desempeno;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior"
Hombre,37 - 40,Provincia de Buenos Aires,10+,5 - 6,SysAdmin / DevOps,Full-Time,2300,152,Bruto,500,Windows;VMWare,,,,,"Si, activa",3500,Bruto,4,3,No,No recibo bono,Uno,15,No,No cambie de empresa,"Abono de celular y/o Internet;Laptop;Snacks, golosinas, bebidas, etc;WFH (Trabajar desde casa)"
Hombre,Menos de 18 anos,San Luis,3 - 5,1 - 2,Designer,Part-Time,2400,159,Bruto,10,,,,,,,,,4,5,Menos de un sueldo,Performance individual,Uno,15,No,No cambie de empresa,Viajes al exterior
Hombre,24 - 26,Santa Fe,1 - 2,1 - 2,HelpDesk,Part-Time,2500,165,Neto,1000,,,,,,"Si, activa",74,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Provincia de Buenos Aires,10+,1 - 2,Networking,Full-Time,2500,165,Neto,500,,,,,,No,0,Neto,3,1,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas
Hombre,27 - 30,Provincia de Buenos Aires,10+,1 - 2,Networking,Full-Time,2500,165,Neto,500,,,,,,No,0,Neto,3,1,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas
Hombre,21 - 23,Salta,3 - 5,2 - 3,Designer,Full-Time,3000,198,Neto,10,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Viaticos
