Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Gente a cargo,Cuanta,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Julio 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2016,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,24 - 26,Corrientes,1,1,Analista Funcional,Full-Time,1400,87,Neto,10,No,0,"Linux, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Dos,10,No,No cambie de empresa,"Bonos por desempeno, Laptop, Viaticos"
Mujer,31 - 33,Ciudad Autonoma de Buenos Aires,5,2,HelpDesk,Full-Time,1400,87,Bruto,50,No,0,"Windows, plsql html",,,,,"Si, pasiva",10,Porcentaje de mi sueldo,1,1,Menos de un sueldo,Performance individual,Dos,25,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Bonos por desempeno, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, WFH (Trabajar desde casa)"
Hombre,27 - 30,San Luis,5,4,Networking,Full-Time,1480,92,Neto,500,No,0,"Linux, Windows",,,,,"Si, pasiva",0,Bruto,1,2,Menos de un sueldo,Bono ano nuevo,Mas de dos,35,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Laptop"
Hombre,37 - 40,Provincia de Buenos Aires,10+,10+,Networking,Full-Time,1500,93,Bruto,1001,Si,5,Windows,,,,,"Si, activa",15000,Bruto,1,1,No,No recibo bono,Uno,15,No,No cambie de empresa,"Comidas pagas/subvencionadas, Ninguna de las anteriores"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,SysAdmin / DevOps,Full-Time,1500,93,Neto,10,No,0,"*BSD, Linux, Windows",,,,,No,0,Neto,1,1,No,Mix de las anteriores,No,0,Si,Salario,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,6,2,HelpDesk,Full-Time,1700,105,Neto,200,No,0,"Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Mas de dos,40,No,No cambie de empresa,"Aumento por inflacion, Clases de idiomas, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,9,1,analista,Full-Time,1800,112,Neto,200,No,0,"Solaris, Windows",,,,,No,0,Neto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,31 - 33,Provincia de Buenos Aires,5,2,Developer,Full-Time,1800,112,Neto,50,No,0,"Linux, Docker / Containers",,,,,No,0,Porcentaje de mi sueldo,2,3,No,No recibo bono,Dos,30,No,No cambie de empresa,Clases de idiomas
Hombre,Menos de 18 anos,GBA,5,2,Storage / Backup,Remoto (empresa de otro pais),1850,115,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,WFH (Trabajar desde casa)
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,10+,4,SysAdmin / DevOps,Freelance,2000,124,Neto,10,No,0,"Linux, Windows, VMWare",,,,,"Si, pasiva",0,Neto,1,1,No,No recibo bono,No,0,Si,Mayor comodidad,Horarios flexibles
