Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,3,2,No,0,Acces Magnament/Control de accesos,Tercerizado (trabajo a traves de consultora o agencia),18000,1070,Bruto,1001,,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Guarderia, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,41 - 45,Ciudad Autonoma de Buenos Aires,10+,10+,No,0,Admin/soporte,Full-Time,28400,1689,Neto,100,,,,,,,,,,2,2,No,No recibo bono,Uno,10,No,No cambie de empresa,"Abono de celular y/o Internet, Descuentos en gimnasios"
Hombre,37 - 40,Ciudad Autonoma de Buenos Aires,10+,9,Si,8,Administrador de infraestructura ti,Full-Time,33000,1963,Neto,1001,,,,,,,,,,3,2,No,No recibo bono,Uno,11,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Snacks, golosinas, bebidas"
Hombre,37 - 40,Jujuy,9,10+,No,0,"Administrador de Servidores Linux y Windows server, versiones de 2000 en adelante",Part-Time,8000,475,Neto,200,,,,,,,,,,1,2,No,No recibo bono,Uno,10,No,No cambie de empresa,Aumento por inflacion
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,"Administrador Windows server, storage , backups",Full-Time,19500,1160,Neto,1000,,,,,,,,,,2,2,No,No recibo bono,Uno,20,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Descuentos en gimnasios, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Cordoba,5,5,No,0,Analisis/Desarrollo,Full-Time,20500,1219,Neto,500,,,,,,,,,,2,3,No,al porcentaje que defina el cliente,No,0,Si,Desafios profesionales,"Abono de celular y/o Internet, Aumento por inflacion, Capacitaciones y/o cursos, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc)"
Hombre,41 - 45,Ciudad Autonoma de Buenos Aires,10+,2,No,0,Analist,Full-Time,18000,1070,Neto,1001,,,,,,,,,,2,3,De uno a tres sueldos,Performance de la compania,Dos,19,No,No cambie de empresa,"Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,41 - 45,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,No,0,Analista,Full-Time,40000,2379,Bruto,200,,,,,,,,,,3,3,No,No recibo bono,Uno,10,Si,Salario,"Aumento por inflacion, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Snacks, golosinas, bebidas"
Hombre,37 - 40,Ciudad Autonoma de Buenos Aires,10+,7,No,0,Analista,Full-Time,42000,2498,Bruto,1001,,,,,,,,,,2,2,No,No recibo bono,Uno,10,Si,Mejores beneficios,Laptop
Hombre,37 - 40,Cordoba,7,5,No,0,Analista,Full-Time,24900,1481,Neto,500,,,,,,,,,,2,2,No,No recibo bono,Uno,18,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Snacks, golosinas, bebidas"
