Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especializacion,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a julio 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio
Hombre,24 - 26,Cordoba,10+,Menos de un ano,Si,1,Universitario,Completado,Diseno Interactivo,"Si, de forma particular",Developer,Full-Time,2000,105,Bruto,10,,"CSS, HTML, Javascript, jQuery, Perl, PHP, Python",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,18 - 20,Santa Fe,7,6,No,0,Secundario,Completado,Tecnico pc,"Si, de forma particular",HelpDesk,Freelance,2000,105,Neto,10,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3,1,No,0,Universitario,En curso,ing en sistemas - utn,No,Developer,Full-Time,2000,105,Neto,50,,"HTML, jQuery, PHP",,,,,1,3,No,No recibo bono,Dos,25,No,No cambie de empresa
Hombre,21 - 23,Provincia de Buenos Aires,3,3,No,0,Universitario,En curso,Lic. en Cs de la Comp,"Si, de forma particular",Developer,Freelance,2000,105,Bruto,10,,"CSS, HTML, Java, Javascript, jQuery, PHP",,,,,2,2,No,No recibo bono,Uno,5,No,No cambie de empresa
Hombre,21 - 23,GBA,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ing Sistemas,No,AM/ABM,Full-Time,2390,126,Bruto,10001,,,,,,,3,2,No,No recibo bono,Uno,8,No,No cambie de empresa
Hombre,21 - 23,Cordoba,2,Menos de un ano,No,0,Universitario,Incompleto,Licenciatura en ciencia de la computacion,No,Developer,Full-Time,2600,137,Neto,100,,Python,,,,,3,4,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Provincia de Buenos Aires,8,Menos de un ano,No,0,Secundario,Incompleto,Ciencias sociales,"Si, de forma particular",Electronica,Full-Time,3000,158,Neto,10,,,,,,,2,1,No,No recibo bono,Mas de dos,50,Si,Desafios profesionales
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,5,2,No,0,Posgrado,En curso,,"Si, de forma particular",Networking,Full-Time,3000,158,Bruto,100,,,,,,,2,2,Un sueldo,Performance individual,Dos,20,No,No cambie de empresa
Hombre,Menos de 18 anos,Provincia de Buenos Aires,1,1,Si,1,Primario,En curso,Tecnico Programador,"Si, de forma particular",HelpDesk,Freelance,3000,158,Neto,10,,,,,,,3,4,No,No recibo bono,No,0,Si,Desafios profesionales
Hombre,27 - 30,Provincia de Buenos Aires,2,1,No,0,Universitario,En curso,Computacion,"Si, de forma particular",IT - Tutor,Part-Time,3200,168,Bruto,10001,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Tucuman,4,4,Si,0,Universitario,Incompleto,Ing En Sistemas,No,Storage / Backup,Part-Time,3400,179,Bruto,10,,,,,,,1,1,No,No recibo bono,Dos,3,No,No cambie de empresa
Hombre,24 - 26,Mendoza,Menos de un ano,Menos de un ano,No,0,Terciario,En curso,,No,Administracion,Part-Time,3500,184,Neto,10,,,,,,,3,2,No,No recibo bono,No,0,Si,Mayor comodidad
Hombre,24 - 26,Neuquen,2,Menos de un ano,No,0,Universitario,En curso,Lic en Ciencias de la Computacion,"Si, de forma particular",Developer,Part-Time,3500,184,Neto,10,,".NET, C#, Javascript, jQuery",,,,,1,2,Menos de un sueldo,Mix de las anteriores,Uno,35,Si,Mayor comodidad
Hombre,18 - 20,Provincia de Buenos Aires,5,3,No,0,Secundario,En curso,Tecnico electromecanico,"Si, de forma particular, Si, los pago un empleador",Designer,Freelance,3600,189,Neto,10,,,,,,,2,1,No,No recibo bono,Mas de dos,7,No,No cambie de empresa
Hombre,24 - 26,Provincia de Buenos Aires,4,3,No,0,Universitario,Completado,Ingeniero en Sistemas,"Si, de forma particular",Developer,Remoto (empresa de otro pais),3800,200,Neto,50,,"Objective-C, Swift",,,,,2,4,Un sueldo,Aguinaldo Ficticio,Uno,10,No,No cambie de empresa
Mujer,27 - 30,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Terciario,Completado,Profesora educacion inicial,"Si, de forma particular",Tecnica,Part-Time,3900,205,Neto,1000,,,,,,,3,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Entre Rios,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Licenciatura en sistemas informaticos,"Si, de forma particular",Designer,Part-Time,4000,211,Neto,10,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Cordoba,1,Menos de un ano,No,0,Universitario,En curso,Ingenieria en sistemas de informacion,"Si, de forma particular",Developer,Freelance,4000,211,Neto,50,,"CSS, HTML, Javascript, jQuery, Python, Django",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
