Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Tenés gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a enero 2018,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación lo que va del año?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,21 - 23,GBA,3,3,3,Universitario,En curso,Tecnico Superior En Programacion,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows, Azure, VMWare, PFSENSE, POWERSHELL",".NET, C#, CSS, HTML, VB *, Powershell",,,,,"Sí, pasiva",0,Bruto,Full-Time,10200,Neto,2,2,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Cuota para universidad
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,0,Terciario,Completado,,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Bruto,Part-Time,11000,Neto,1,2,No,No recibo bono,Dos,5,201-500,No,No cambié de empresa,Ninguna de las anteriores
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,10+,6,0,Universitario,Completado,Comunicacion ,"Sí, de forma particular",Administrativa ,,,,,,,,,,Part-Time,11000,Neto,3,3,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,21 - 23,Córdoba,2,2,0,Universitario,En curso,Ingeniería en Sistemas de Información,"Sí, de forma particular",Developer,,".NET, CSS, HTML, Javascript, jQuery, VB *",,,,,No,0,Porcentaje de mi sueldo,Part-Time,11000,Neto,1,2,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,"Aumento por inflación, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,37 - 40,Córdoba,5,5,0,Universitario,En curso,Ingeniería en Telecomunicaciones,"Sí, de forma particular",SysAdmin / DevOps,"*BSD, Linux, Windows",HTML,,,,,No,0,Neto,Tercerizado (trabajo a través de consultora o agencia),11000,Neto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles"
Hombre,37 - 40,Provincia de Buenos Aires,10+,10+,0,Terciario,Completado,,"Sí, de forma particular",Developer,,".NET, ActionScript, CSS, HTML, Java, Javascript, jQuery, PHP, Python",,,,,No,0,Bruto,Freelance,11000,Bruto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Horarios flexibles, Laptop"
Hombre,41 - 45,Santa Fe,10+,6,0,Terciario,Incompleto,profesor de informática,"Sí, de forma particular",instructor,,,,,,,,,,Full-Time,11000,Neto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Bonos por desempeño
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,3,0,Universitario,En curso,Ingeniería Industrial,No,Analista de fábrica,,,,,,,,,,Part-Time,11200,Neto,3,2,No,No recibo bono,No,0,11-50,No,Mayor comodidad,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Universitario,En curso,Licenciatura en análisis de sistemas,No,Developer,,Python,,,,,No,0,Porcentaje de mi sueldo,Part-Time,11500,Neto,1,1,No,No recibo bono,Uno,8,2001-5000,No,No cambié de empresa,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios"
Hombre,21 - 23,Chubut,1,1,0,Universitario,En curso,Licenciatura en Sistema,"Sí, de forma particular",Developer,,PHP,,,,,No,12000,Bruto,Part-Time,12000,Neto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
