Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en lo que va de 2019?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra,"¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento, en tu ciudad?"
Mujer,30,Ciudad Autónoma de Buenos Aires,4,1,1,2,Universitario,Completado,PUBLICIDAD Y MARKETING,UNIVERSIDAD RAFAEL BELLOSO CHACIN,"Sí, de forma particular",No,Sí, advertising,Windows Server,Java,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,11000,11000,1,1,No,No recibo bono,No,0,0,En mi trabajo actual,Heterosexual,,,0,11-50,Otras industrias,1,5,2,Ninguna de las anteriores,wework
Mujer,30,Misiones,10,10,5,0,Terciario,En curso,Tec mkt y publicidad,Universidad Siglo 21,"Sí, los pagó un empleador",No,No,Capacitador de usuarios internos de sistemas,Rismi,Java,Moodle,,,,Windows,Android,No,0,Neto,Part-Time,11000,27000,3,4,No,No recibo bono,Dos,15,6,Jamás,Heterosexual,,No,Congreso hospital italiano,11-50,Producto basado en Software,8,8,1,"Capacitaciones y/o cursos, Clases de idiomas, Guardería, Horarios flexibles, Licencia de paternidad/maternidad extendida",Marandu
Hombre,35,Ciudad Autónoma de Buenos Aires,15,7,3,6,Universitario,Completado,Licenciatura en Análisis de Sistemas,UADE - Universidad Argentina De la Empresa,"Sí, de forma particular",No,Sí,Networking,"Azure, Kubernetes, VMWare, Windows Server","HTML, Java, Javascript",,,,,Windows,iOS,No,0,Bruto,Full-Time,11000,75000,3,3,3+ sueldos,Performance individual,Más de dos,47,6,Jamás,Heterosexual,,No,Cisco connect,2001-5000,Otras industrias,6,7,5,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Cuota para universidad / posgrados",
Hombre,32,Ciudad Autónoma de Buenos Aires,14,0,0,1,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, *BSD, Docker, Linux, OpenStack, VMWare","Bash/Shell, Go, Groovy, Java, Javascript, Perl, Python","Angular, Django, Spring","Amazon DynamoDB, MariaDB, MongoDB, MySQL","JUnit, Postman","PyCharm, Sublime Text, Vi, Visual Studio Code",Mac OS X,Android,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,11000,76000,4,4,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,,11-50,Producto basado en Software,9,10,15,"Capacitaciones y/o cursos, WFH (Trabajar desde casa)",
Mujer,32,Ciudad Autónoma de Buenos Aires,7,1,4,4,Terciario,Completado,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Technical Leader,Windows Server,".NET, C#, HTML, Javascript, TypeScript",".NET Core, Bootstrap, jQuery",SQL Server ,SoapUI,"Notepad++, Sublime Text, Visual Studio, Visual Studio Code",Windows,Android,No,0,Neto,Full-Time,11500,79000,3,3,No,No recibo bono,Dos,12,4,En un trabajo anterior,Heterosexual,,,Webinars de Globant y Bellatrix ,10001+,Producto basado en Software,8,8,40,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Horarios flexibles, WFH (Trabajar desde casa)",Globallogic Playtika
Hombre,44,Provincia de Buenos Aires,15,4,4,0,Universitario,Incompleto,Analista de Computación,UK - Universidad Kennedy,No,No,No,HelpDesk,"Google Cloud Platform/App Engine, Windows Server",,.NET Core,MySQL,,,Windows,Android,No,0,Porcentaje de mi sueldo,Part-Time,11535,17000,3,2,No,No recibo bono,No,10,1,Jamás,Heterosexual,,,,1-10,Servicios / Consultoría de Software / Digital,7,5,11,"Horarios flexibles, Viáticos",
Hombre,21,GBA,0,0,0,0,Secundario,Completado,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,No,Sí,Sí,Developer,,".NET, C#, SQL",".NET Core, Spring",MySQL,,"Vim, Visual Studio",Windows,Android,No,0,Neto,Part-Time,12000,12000,2,3,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,,1-10,Producto basado en Software,3,10,60,Ninguna de las anteriores,
Hombre,34,Jujuy,2,2,2,0,Universitario,En curso,Ingeniería en Informática,UNJu - Universidad Nacional de Jujuy,No,No,Sí,Developer,,"HTML, Java, Javascript, TypeScript","Angular, Bootstrap, Hibernate, Spring",MySQL,Karma,"Android Studio, IntelliJ, NetBeans",Windows,Android,No,0,Porcentaje de mi sueldo,Tercerizado (trabajo a través de consultora o agencia),12000,12000,2,1,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,,11-50,Servicios / Consultoría de Software / Digital,4,5,7,WFH (Trabajar desde casa),
Hombre,22,Mendoza,1,1,1,0,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",Sí,Sí,Developer,,".NET, VBA",,,,Visual Studio,Windows,Android,No,0,Neto,Part-Time,12000,12000,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,,1-10,Producto basado en Software,10,10,4,Ninguna de las anteriores,
Mujer,19,Provincia de Buenos Aires,0,0,0,0,Universitario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Consultant,Windows Server,"Javascript, Python, SQL",,"MySQL, PostgreSQL, ACCESS",,Visual Studio,Windows,Android,"Sí, activa",200,Neto,Part-Time,13000,10538,3,3,Menos de un sueldo,Performance individual,No,0,0,En un trabajo anterior,Heterosexual,,,,1-10,Servicios / Consultoría de Software / Digital,10,10,27,"Comidas pagas / subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
